曲目ID,中文名称,EnglishTitle,专辑名称,曲目序号,音频文件名,身份定位,神学主题,属灵气质,传统用途,适合文章类型,不适合文章类型,一句话总评,来源链接,来源说明
A7-13,耶稣是我一切,Jesus Is All the World to Me,藏身主怀 You Are My Hiding Place,13,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,渴慕基督；倚靠主；以主为满足；成圣中的亲近,渴慕；安静；亲近；单纯信靠,灵修默想；祷告回应；退修；门徒生命操练,强调人心对主的渴慕、离开自足、重新以基督为生命满足的文章,主要落点是节期庆典、宏大宣教、公开争战或主餐礼仪的文章,渴慕基督；倚靠主；以主为满足；成圣中的亲近；适合强调人心对主的渴慕、离开自足、重新以基督为生命满足的文章。,https://hymnary.org/search?qu=Jesus%20Is%20All%20the%20World%20to%20Me | https://songselect.ccli.com/search/results?List=Jesus%20Is%20All%20the%20World%20to%20Me,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A7-14,主的道,His Way with Thee,藏身主怀 You Are My Hiding Place,14,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,神的护理；信实；患难中的保守；信靠顺服,安稳；温柔；坚信；受安慰,苦难安慰；病中探访；信心坚固；灵修默想,强调神在苦难、等待、未知前路中仍然掌权与看顾的文章,主要落点是认罪悔改、得胜凯歌或圣诞庆贺的文章,神的护理；信实；患难中的保守；信靠顺服；适合强调神在苦难、等待、未知前路中仍然掌权与看顾的文章。,https://hymnary.org/search?qu=His%20Way%20with%20Thee | https://songselect.ccli.com/search/results?List=His%20Way%20with%20Thee,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A7-15,我宁愿有耶稣,I Rather Have Jesus,藏身主怀 You Are My Hiding Place,15,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,渴慕基督；倚靠主；以主为满足；成圣中的亲近,渴慕；安静；亲近；单纯信靠,灵修默想；祷告回应；退修；门徒生命操练,强调人心对主的渴慕、离开自足、重新以基督为生命满足的文章,主要落点是节期庆典、宏大宣教、公开争战或主餐礼仪的文章,渴慕基督；倚靠主；以主为满足；成圣中的亲近；适合强调人心对主的渴慕、离开自足、重新以基督为生命满足的文章。,https://hymnary.org/search?qu=I%20Rather%20Have%20Jesus | https://songselect.ccli.com/search/results?List=I%20Rather%20Have%20Jesus,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A7-16,全民全族当归向他,Once to Every Man and Nation,藏身主怀 You Are My Hiding Place,16,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,福音使命；基督掌权；属灵争战；差派见证,坚定；外展；得胜；呼召,宣教聚会；差派礼；福音使命；属灵争战信息,强调传福音、万民归主、教会使命、为真理站立的文章,安静哀伤、个人退修、主餐默想或细腻牧养安慰的文章,福音使命；基督掌权；属灵争战；差派见证；适合强调传福音、万民归主、教会使命、为真理站立的文章。,https://hymnary.org/search?qu=Once%20to%20Every%20Man%20and%20Nation | https://songselect.ccli.com/search/results?List=Once%20to%20Every%20Man%20and%20Nation,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A7-17,今是主自己,Himself,藏身主怀 You Are My Hiding Place,17,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,奉献；顺服；成圣；以基督为至宝,委身；安静坚定；舍己；内在降服,奉献回应；培灵会；门徒训练；成圣主题,呼召读者顺服、奉献、舍己跟随主、重新把基督居首位的文章,单纯福音呼召、圣诞叙事或主要安慰伤痛的文章,奉献；顺服；成圣；以基督为至宝；适合呼召读者顺服、奉献、舍己跟随主、重新把基督居首位的文章。,https://hymnary.org/search?qu=Himself | https://songselect.ccli.com/search/results?List=Himself,参考 Hymnary 与 CCLI/SongSelect 等可复核入口；现代版权曲或题名不唯一，需用 CCLI/SongSelect 与曲库文件名复核。
A7-18,奉献所有,I Surrender All,藏身主怀 You Are My Hiding Place,18,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,奉献；顺服；成圣；以基督为至宝,委身；安静坚定；舍己；内在降服,奉献回应；培灵会；门徒训练；成圣主题,呼召读者顺服、奉献、舍己跟随主、重新把基督居首位的文章,单纯福音呼召、圣诞叙事或主要安慰伤痛的文章,奉献；顺服；成圣；以基督为至宝；适合呼召读者顺服、奉献、舍己跟随主、重新把基督居首位的文章。,https://hymnary.org/search?qu=I%20Surrender%20All | https://songselect.ccli.com/search/results?List=I%20Surrender%20All,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A7-19,那片沃土,Sweet By and By,藏身主怀 You Are My Hiding Place,19,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,天家盼望；永恒；寄居客旅；与主面对面,盼望；深远；安慰；天路感,追思安慰；永恒盼望；天路客旅；临终关怀,强调今世寄居、永恒盼望、天家归宿、与主面对面的文章,主要是现实行动呼召、轻快赞美或圣诞节期文章,天家盼望；永恒；寄居客旅；与主面对面；适合强调今世寄居、永恒盼望、天家归宿、与主面对面的文章。,https://hymnary.org/search?qu=Sweet%20By%20and%20By | https://songselect.ccli.com/search/results?List=Sweet%20By%20and%20By,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A7-20,我是个贫穷的独行者,I Am a Poor Wayfaring Stranger,藏身主怀 You Are My Hiding Place,20,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,神的护理；信实；患难中的保守；信靠顺服,安稳；温柔；坚信；受安慰,苦难安慰；病中探访；信心坚固；灵修默想,强调神在苦难、等待、未知前路中仍然掌权与看顾的文章,主要落点是认罪悔改、得胜凯歌或圣诞庆贺的文章,神的护理；信实；患难中的保守；信靠顺服；适合强调神在苦难、等待、未知前路中仍然掌权与看顾的文章。,https://hymnary.org/search?qu=I%20Am%20a%20Poor%20Wayfaring%20Stranger | https://songselect.ccli.com/search/results?List=I%20Am%20a%20Poor%20Wayfaring%20Stranger,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
A7-21,默祷,Meditation on a Folk Song,藏身主怀 You Are My Hiding Place,21,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,祷告；倚靠；与主相交；把重担带到主前,安静；亲近；恳切；牧养,祷告会；灵修默想；个人退修；回应祷告,引导读者回到祷告、依靠主、向主倾心吐意的文章,主要落点是宣教差派、复活得胜或庄严审判的文章,祷告；倚靠；与主相交；把重担带到主前；适合引导读者回到祷告、依靠主、向主倾心吐意的文章。,https://hymnary.org/search?qu=Meditation%20on%20a%20Folk%20Song | https://songselect.ccli.com/search/results?List=Meditation%20on%20a%20Folk%20Song,参考 Hymnary 与 CCLI/SongSelect 等可复核入口；现代版权曲或题名不唯一，需用 CCLI/SongSelect 与曲库文件名复核。
N-01,这是天父世界,This Is My Father's World,锺玲新作,1,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,创造护理；神的伟大；感恩；敬拜造物主,开阔；赞叹；感恩；安稳,感恩节；创造主题；神护理主题；主日赞美,强调神创造、掌权、供应、护理，以及人以感恩敬拜回应的文章,主要落点是悔改呼召、主餐记念、十字架受苦或个人哀伤的文章,创造护理；神的伟大；感恩；敬拜造物主；适合强调神创造、掌权、供应、护理，以及人以感恩敬拜回应的文章。,https://hymnary.org/search?qu=This%20Is%20My%20Father's%20World | https://songselect.ccli.com/search/results?List=This%20Is%20My%20Father's%20World,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
N-02,贺祂为王,All Hail the Power of Jesus' Name,锺玲新作,2,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,基督的荣美；爱主回应；敬拜尊崇；基督居首位,敬拜；亲密；庄重；爱慕,主日敬拜；灵修回应；奉献回应；基督论主题信息,强调基督荣美、爱主、敬拜、尊主为大的文章,主要落点是苦难安慰、圣诞叙事、主餐记念或宣教差派的文章,基督的荣美；爱主回应；敬拜尊崇；基督居首位；适合强调基督荣美、爱主、敬拜、尊主为大的文章。,https://hymnary.org/search?qu=All%20Hail%20the%20Power%20of%20Jesus'%20Name | https://songselect.ccli.com/search/results?List=All%20Hail%20the%20Power%20of%20Jesus'%20Name,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
N-03,虔守主餐,Let Us Break Bread Together,锺玲新作,3,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,主餐；基督身体与宝血；记念主死；教会相交,肃穆；安静；敬虔；纪念,主餐礼；受难周；教会团契；十字架默想,明确落在记念主死、主餐、基督身体和教会合一的文章,普通生活应用、圣诞庆祝或宣教差派文章,主餐；基督身体与宝血；记念主死；教会相交；适合明确落在记念主死、主餐、基督身体和教会合一的文章。,https://hymnary.org/search?qu=Let%20Us%20Break%20Bread%20Together | https://songselect.ccli.com/search/results?List=Let%20Us%20Break%20Bread%20Together,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
N-04,我曾舍命为你 / 哦，我真爱耶稣,"I Gave My Life for Thee / Oh, How I Love Jesus",锺玲新作,4,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,十字架救恩；基督代赎；悔改与敬拜,深沉；敬畏；破碎；十字架默想,受难周；主餐前后；十字架信息；悔改回应,以基督受苦、代赎、舍己、悔改、十字架道路为中心的文章,主要落点是轻快赞美、圣诞叙事、普通生活感恩或宣教动员的文章,十字架救恩；基督代赎；悔改与敬拜；适合以基督受苦、代赎、舍己、悔改、十字架道路为中心的文章。,https://hymnary.org/search?qu=I%20Gave%20My%20Life%20for%20Thee%20%2F%20Oh%2C%20How%20I%20Love%20Jesus | https://songselect.ccli.com/search/results?List=I%20Gave%20My%20Life%20for%20Thee%20%2F%20Oh%2C%20How%20I%20Love%20Jesus,参考 Hymnary 与 CCLI/SongSelect 等可复核入口；组曲/合并曲目需分别核对各组成圣诗。
N-05,自从耶稣进到我心 / 喜传福音,Since Jesus Came into My Heart / I Love to Tell the Story,锺玲新作,5,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,救恩确据；得赎身份；重生生命；福音见证,确据；感恩；明亮；稳妥,见证；福音回应；救恩主题；主日赞美,强调信徒在基督里的身份、救恩确据、重生改变和感恩见证的文章,主要落点是哀伤追思、主餐肃穆、圣洁审判或安静等候的文章,救恩确据；得赎身份；重生生命；福音见证；适合强调信徒在基督里的身份、救恩确据、重生改变和感恩见证的文章。,https://hymnary.org/search?qu=Since%20Jesus%20Came%20into%20My%20Heart%20%2F%20I%20Love%20to%20Tell%20the%20Story | https://songselect.ccli.com/search/results?List=Since%20Jesus%20Came%20into%20My%20Heart%20%2F%20I%20Love%20to%20Tell%20the%20Story,参考 Hymnary 与 CCLI/SongSelect 等可复核入口；组曲/合并曲目需分别核对各组成圣诗。
N-06,愿主向我吹气,"Breathe on Me, Breath of God",锺玲新作,6,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,圣灵工作；更新生命；成圣；属灵苏醒,恳切；柔和；更新；等候,培灵会；成圣主题；祷告会；复兴与更新信息,强调圣灵光照、生命更新、成圣操练、属灵复兴和对神工作的渴慕的文章,主要落点是圣诞叙事、主餐礼仪、追思安慰或外展凯歌的文章,圣灵工作；更新生命；成圣；属灵苏醒；适合强调圣灵光照、生命更新、成圣操练、属灵复兴和对神工作的渴慕的文章。,https://hymnary.org/search?qu=Breathe%20on%20Me%2C%20Breath%20of%20God | https://songselect.ccli.com/search/results?List=Breathe%20on%20Me%2C%20Breath%20of%20God,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
N-07,祂既看顾小麻雀 / 天父必看顾你,His Eye Is on the Sparrow / God Will Take Care of You,锺玲新作,7,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,神的护理；信实；患难中的保守；信靠顺服,安稳；温柔；坚信；受安慰,苦难安慰；病中探访；信心坚固；灵修默想,强调神在苦难、等待、未知前路中仍然掌权与看顾的文章,主要落点是认罪悔改、得胜凯歌或圣诞庆贺的文章,神的护理；信实；患难中的保守；信靠顺服；适合强调神在苦难、等待、未知前路中仍然掌权与看顾的文章。,https://hymnary.org/search?qu=His%20Eye%20Is%20on%20the%20Sparrow%20%2F%20God%20Will%20Take%20Care%20of%20You | https://songselect.ccli.com/search/results?List=His%20Eye%20Is%20on%20the%20Sparrow%20%2F%20God%20Will%20Take%20Care%20of%20You,参考 Hymnary 与 CCLI/SongSelect 等可复核入口；组曲/合并曲目需分别核对各组成圣诗。
N-08,有福的确据,Blessed Assurance,锺玲新作,8,,传统圣诗或福音圣乐，适合作为灵修文章配乐候选。,救恩确据；得赎身份；重生生命；福音见证,确据；感恩；明亮；稳妥,见证；福音回应；救恩主题；主日赞美,强调信徒在基督里的身份、救恩确据、重生改变和感恩见证的文章,主要落点是哀伤追思、主餐肃穆、圣洁审判或安静等候的文章,救恩确据；得赎身份；重生生命；福音见证；适合强调信徒在基督里的身份、救恩确据、重生改变和感恩见证的文章。,https://hymnary.org/search?qu=Blessed%20Assurance | https://songselect.ccli.com/search/results?List=Blessed%20Assurance,参考 Hymnary 与 CCLI/SongSelect 等可复核资料入口；传统圣诗可由 Hymnary 进一步进入具体诗本/作者资料；未读取音频。
